ds,cve_publicadas
2025-03-27,90
2025-03-28,68
2025-03-29,4
2025-03-30,1
2025-03-31,136
2025-04-01,143
2025-04-02,33
2025-04-03,86
2025-04-04,76
2025-04-05,7
2025-04-06,13
2025-04-07,100
2025-04-08,174
2025-04-09,112
2025-04-10,37
2025-04-11,75
2025-04-12,3
2025-04-13,6
2025-04-14,18
2025-04-15,74
2025-04-16,139
2025-04-17,232
2025-04-18,41
2025-04-19,16
2025-04-20,3
2025-04-21,15
2025-04-22,50
2025-04-23,38
2025-04-24,76
2025-04-25,28
2025-04-26,9
2025-04-27,15
2025-04-28,40
2025-04-29,29
2025-04-30,51
2025-05-01,58
2025-05-02,31
2025-05-03,12
2025-05-04,6
2025-05-05,54
2025-05-06,98
2025-05-07,86
2025-05-08,41
2025-05-09,68
2025-05-10,15
2025-05-11,7
2025-05-12,55
2025-05-13,160
2025-05-14,31
2025-05-15,64
2025-05-16,69
2025-05-17,33
2025-05-18,28
2025-05-19,128
2025-05-20,0
